Año;Mes;Producto;Datos;Total
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;17367
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2800518
;;PETROLEO;Suma de M3;72007
;;;Suma de Toneladas;562
;;;Suma de ValorFOB;9098299
;7;ADITIVOS LUBRICANTES;Suma de M3;62
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;252912
;;BASES LUBRICANTES;Suma de M3;280
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;85725
;;GAS OIL;Suma de M3;16700
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2096081
;;KEROSENE;Suma de M3;7270
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1038216
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;10640
;;;Suma de ValorFOB;3121105
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;31562
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4289244
;8;ADITIVOS LUBRICANTES;Suma de M3;52
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;166473
;;AEROKEROSENE;Suma de M3;15759
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2471207
;;BASES LUBRICANTES;Suma de M3;25295
;;;Suma de Toneladas;926
;;;Suma de ValorFOB;5689580
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;4197
;;;Suma de ValorFOB;1334491
;9;ADITIVOS PARA COMBUSTIBLES;Suma de M3;89
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;167920
;;AGUARRAS;Suma de M3;913
;;;Suma de Toneladas;727
;;;Suma de ValorFOB;306700
;;GAS OIL;Suma de M3;56180
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8032737
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;4227
;;;Suma de ValorFOB;1149649
;;NAFTA VIRGEN;Suma de M3;10225
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1216059
;;PETROLEO;Suma de M3;55377
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6662260
;10;ACEITE PARA TRANSFORMADOR;Suma de M3;850
;;;Suma de Toneladas;729
;;;Suma de ValorFOB;346275
;;ADITIVOS LUBRICANTES;Suma de M3;121
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;251056
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;104
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;758027
;;AERONAFTAS;Suma de M3;0
;;;Suma de Toneladas;6845
;;;Suma de ValorFOB;1792418
;;AGUARRAS;Suma de M3;32
;;;Suma de Toneladas;22
;;;Suma de ValorFOB;24488
;;ASFALTOS;Suma de M3;3
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;9097
;;BASES LUBRICANTES;Suma de M3;18
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;19966
;;GRASAS;Suma de M3;9
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;20092
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;2979
;;;Suma de ValorFOB;728437
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;0
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;0
;;PETROLEO;Suma de M3;70041
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7985222
;11;ADITIVOS LUBRICANTES;Suma de M3;132
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;257402
;;AERONAFTAS;Suma de M3;2090
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;535769
;;AGUARRAS;Suma de M3;2016
;;;Suma de Toneladas;1512
;;;Suma de ValorFOB;632196
;;BASES LUBRICANTES;Suma de M3;9771
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2757470
;;FUEL OIL, AZUFRE <1%;Suma de M3;2604
;;;Suma de Toneladas;0
