refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",59055042.6,245556000.0,245556000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",52569376.76,329901000.0,329901000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6056615.58,40593100.0,40593100.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",854410754.63,3796020000.0,3796020000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",95826299.71,619943000.0,619943000.0,H5,natural_gas_hs
2020,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",13008768.81,84088100.0,84088100.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1178102237.91,2554793100.0,2554793100.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",964805867.0,3529800830.0,3529800830.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",17911891.44,38426100.0,38426100.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",777040436.38,1515418000.0,1515418000.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",963444100.0,3522944000.0,3522944000.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1361767.0,6856830.0,6856830.0,H5,natural_gas_hs
2021,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",383149910.09,1000949000.0,1000949000.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2566884644.99,1671467500.0,1671467500.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1692138781.0,2879361000.0,2879361000.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",50191150.02,38561700.0,38561700.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1908692404.93,1244617000.0,1244617000.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",89512499.7,63261400.0,63261400.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",170237724.57,83813900.0,83813900.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1692138781.0,2879361000.0,2879361000.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",195726634.35,141523500.0,141523500.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",73536650.17,57295600.0,57295600.0,H5,natural_gas_hs
2022,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",78987581.25,42394400.0,42394400.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",1799875976.05,1894291800.0,1894291800.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",876415707.3,1711100500.0,1711100500.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",45795644.98,42557800.0,42557800.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",876415707.3,1711100500.0,1711100500.0,H5,natural_gas_hs
2023,M,Import,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",39444370.4,58442300.0,58442300.0,H5,natural_gas_hs
