"anio","unidad","precio_externo_gas","us_wellhead_gas_price","us_import_gas_price","us_pipeline_import_price","us_lng_import_price","us_export_gas_price","us_export_gas_pipeline_price","us_export_lng_price","eia_henry_hub_spot","bp_lng_japan_cif","bp_lng_jkm","bp_gas_german_import_price","bp_gas_nbp","bp_gas_netherlands_ttf","bp_gas_henry_hub","bp_gas_canada","bp_oil_mix_mean_oecd","fmi_lng_asia","fmi_natural_gas_eu","fmi_henry_hub","precio_expo_bolivia_arg_ypfb","precio_expo_bolivia_bzl_ypfb","precio_impo_gas_arg_bolivia_comtrade","precio_expo_gas_bolivia_arg_comtrade","precio_expo_gas_comtrade","precio_expo_gas_regalias","precio_expo_gas_indec","precio_expo_gas_mecon","precio_impo_gas_bolivia_idee","precio_exportacion_gas_ar"
1987,"USD/MMBTU",1.8403417373563,1.62451361867704,1.89688715953307,1.89688715953307,NA,2.9863813229572,2.28599221789883,3.06420233463035,NA,3.35263841501241,NA,2.54750327145321,NA,NA,NA,NA,3.0948275862069,NA,NA,NA,NA,NA,3.69809705988068,1.8403417373563,2.70973896792028,NA,NA,NA,3.56521490403541,2.70973896792028
1988,"USD/MMBTU",1.51410437056832,1.64396887159533,1.78988326848249,1.78015564202335,2.63618677042802,2.66536964980545,2.08171206225681,2.8988326848249,NA,3.34410863833747,NA,2.22035908876431,NA,NA,NA,NA,2.56206896551724,NA,NA,NA,NA,NA,2.59321858884055,1.51410437056832,2.2844284773979,NA,NA,NA,3.87343326092505,2.2844284773979
1989,"USD/MMBTU",1.51874616203132,1.64396887159533,1.7704280155642,1.76070038910506,2.15953307392996,2.44163424124514,1.99416342412451,2.92801556420233,NA,3.27923063999173,NA,2.00051377489369,NA,NA,1.69666666666667,NA,3.01206896551724,NA,NA,NA,NA,NA,2.62695649286329,1.51874616203132,2.07950680344012,NA,NA,NA,NA,2.07950680344012
1990,"USD/MMBTU",1.60516734468592,1.66342412451362,1.88715953307393,1.8579766536965,2.40272373540856,3.01556420233463,2.24708171206226,3.49221789883268,NA,3.64457325268817,NA,2.77589313391534,NA,NA,1.63833333333333,1.05,3.82068965517241,NA,2.12212116488224,NA,NA,NA,2.81534917094237,1.60516734468592,3.40831733625598,NA,NA,NA,NA,3.40831733625598
1991,"USD/MMBTU",1.67433046546747,1.59533073929961,1.78015564202335,1.76070038910506,2.29571984435798,2.51945525291829,1.74124513618677,3.60894941634241,NA,3.98594202336642,NA,3.233289,NA,NA,1.48666666666667,0.888333333333333,3.32758620689655,NA,3.13625559400009,1.43298022505821,NA,NA,2.92951885741533,1.67433046546747,3.46421604251414,NA,NA,NA,NA,3.46421604251414
1992,"USD/MMBTU",0.906940419045584,1.69260700389105,1.79961089494163,1.78988326848249,2.47081712062257,2.18871595330739,1.82879377431907,3.33657587548638,NA,3.62263492555831,NA,2.698698,NA,NA,1.77166666666667,0.979166666666667,3.18793103448276,2.88004963873642,2.4662490885933,1.72923151609761,1.59533073929961,0,1.92587627270363,0.906940419045584,3.66502055544332,NA,NA,NA,NA,3.66502055544332
1993,"USD/MMBTU",0.677008619035518,1.98443579766537,1.97470817120623,1.96498054474708,2.14007782101167,2.51945525291829,2.02334630350195,3.24902723735409,NA,3.5220223325062,NA,2.511376,NA,NA,2.12083333333333,1.6925,2.82241379310345,2.76754018707292,2.70957178870951,2.08834822651745,1.18677042801556,0,2.642984274876,0.677008619035518,3.2564069125253,NA,NA,NA,NA,3.2564069125253
1994,"USD/MMBTU",0.663480868467519,1.79961089494163,1.81906614785992,1.80933852140078,2.21789883268482,2.43190661478599,2.02334630350195,3.09338521400778,NA,3.17989428246485,NA,2.350464,NA,NA,1.92,1.4525,2.7,2.52713537582615,2.41150144929832,1.89141577876439,1.16731517509728,0,106.602401622946,0.663480868467519,2.98455136430929,NA,NA,NA,NA,2.98455136430929
1995,"USD/MMBTU",0.706712247443334,1.50778210116732,1.44941634241245,1.43968871595331,2.23735408560311,2.32490272373541,1.59533073929961,3.31712062256809,NA,3.46131229321754,NA,2.430162,NA,NA,1.68666666666667,0.89,2.96379310344828,2.73612729173668,2.81153547880873,1.68359339879074,1.23540856031128,0,119.96141083723,0.706712247443334,3.42905361406924,NA,NA,NA,NA,3.42905361406924
1996,"USD/MMBTU",0.722178218617119,2.11089494163424,1.91634241245136,1.90661478599222,2.72373540856031,2.88910505836576,2.38326848249027,3.55058365758755,NA,3.66324829404466,NA,2.496835,1.86597118973631,NA,2.75666666666667,1.12083333333333,3.53793103448276,3.00217528284978,2.86773146367236,2.6564232282083,1.26459143968872,0,9.62306779569312,0.722178218617119,4.15534378972598,NA,NA,NA,NA,4.15534378972598
