anio,variable,codigo_variable,unidad,valor,fuente
1980.0,Q_crudo_prod,Q_crudo_prod,barriles,179675709.9192,SecEnergia/SESCO/Anuario
1981.0,Q_crudo_prod,Q_crudo_prod,barriles,181475630.5362,SecEnergia/SESCO/Anuario
1982.0,Q_crudo_prod,Q_crudo_prod,barriles,179071260.1392,SecEnergia/SESCO/Anuario
1983.0,Q_crudo_prod,Q_crudo_prod,barriles,179096469.6576,SecEnergia/SESCO/Anuario
1984.0,Q_crudo_prod,Q_crudo_prod,barriles,175096653.7518,SecEnergia/SESCO/Anuario
1985.0,Q_crudo_prod,Q_crudo_prod,barriles,167780798.6778,SecEnergia/SESCO/Anuario
1986.0,Q_crudo_prod,Q_crudo_prod,barriles,158370534.5508,SecEnergia/SESCO/Anuario
1987.0,Q_crudo_prod,Q_crudo_prod,barriles,156346426.59239998,SecEnergia/SESCO/Anuario
1988.0,Q_crudo_prod,Q_crudo_prod,barriles,164306432.664,SecEnergia/SESCO/Anuario
1989.0,Q_crudo_prod,Q_crudo_prod,barriles,168021213.70319998,SecEnergia/SESCO/Anuario
1990.0,Q_crudo_prod,Q_crudo_prod,barriles,176139785.63279998,SecEnergia/SESCO/Anuario
