"","fecha","empresa","sector","moneda","gcia_ant","KTA","tg_ant","tg_desp","activo","activo_no_corr","costos","ctas_cobrar_corr","ctas_cobrar_nocorr","disponibilidades","equity","gcia_desp","gcia_op_discont","gcia_operativa","impuesto_gcia","inventarios","long_term_debt","obras_en_curso","ON_nopesos_corr","ON_nopesos_nocorr","ON_pesos_corr","ON_pesos_nocorr","pasivo","pasivo total","ppye","prestamos_corr","prestamos_financieros_pesos_corr","prestamos_financieros_pesos_nocorr","prestamos_nocorr","regalias_otros","solvencia_ratio","sueldos_y_cargas","terrenos","ventas","rotacion","ppye_neta"
"80",2005-12-31,"TGS","transporte","MM_pesos",230.322,4169.526,0.055239372532993,0.055239372532993,0,4476.968,527.106,0,0,0,0,217.507,0,0,0,0,0,99.568,0,0,0,0,0,0,4274.721,0,0,0,0,0,0,50.775,5.627,1064.738,Inf,4169.526
"81",2005-12-31,"YPF","integrada","MM_pesos",8747,19367.2801563333,0.451638016768176,0.275567862752001,0,23734,11258,2932,1915,0,0,5337,0,0,-3410,1315,0,2759,0,0,27,1031,0,9790,22009,346,319,76,1107,1753,2.303,576,1265,22901,8.56121673003802,17985
"82",2006-12-31,"camuzzi_pamp","distribución","MM_pesos",43.248383,926.632815,0.0466726218842142,0.0204972883460856,1159.236839,1011.147211,298.673179,0,0,5.158089,0,18.99346,0,0,-24.254923,0,0,56.865259,0,0,0,0,0,0,993.840401,0,0,0,0,0,0,52.982516,10.342327,410.064971,Inf,926.632815
"83",2006-12-31,"chevron","integrada","MM_usd",31976,73514,0.434964768615502,0.233125663138994,132628,0,178142,0,0,0,68940,17138,0,0,-14838,4656,7405,0,0,0,0,0,63693,0,68858,0,0,0,0,0,1.08237953935283,0,0,210118,38.2607388316151,68858
"84",2006-12-31,"metrogas","distribución","MM_pesos",445.576,1592.085,0.279869479330563,0.279869479330563,0,1797.325,625.583,0,0,0,0,292.553,0,0,0,0,0,64.814,0,0,0,0,0,0,1674.4,0,0,0,0,0,0,63.742,17.501,873.893,Inf,1592.085
"85",2006-12-31,"PAE","produccion","MM_pesos",2544,8606.59579831933,0.295587251872196,0.191132480082454,0,5910,2380,0,0,0,0,1645,0,0,-899,131,0,1188,0,0,0,0,0,0,9698,0,0,0,0,0,0,138,42,5350,18.1679389312977,8468
"86",2006-12-31,"petrobras_ar","integrada","MM_pesos",1964,11793.4798206278,0.166532696869061,0.127104130655154,20489,15405,8251,0,0,86,0,1416,0,2150,-465,888,0,0,0,0,0,0,0,0,10838,0,0,0,0,716,0,627,0,11745,9.29166666666667,10838
"87",2006-12-31,"petrobras_glob","integrada","MM_usd",19161,45835.4211128808,0.418039139485845,0.293877522513143,0,67725,40184,0,0,0,0,12826,0,0,-5691,6573,0,19738,0,0,0,0,0,0,58897,0,0,0,0,0,0,2234,262,93893,6.1134945991176,38897
"88",2006-12-31,"tecpetrol","produccion","MM_pesos",221.243,805.708604236852,0.274594312182574,0.167224228823542,0,1146.426,484.133,0,0,0,0,134.721,NA,0,-86.509,31.092,0,16.736,0,0,0,0,0,0,791.19,0,0,0,0,122.692,0,54.212,3.319,869.526,15.5709828894893,771.135
"89",2006-12-31,"TGN","transporte","MM_pesos",231.583,2220.151,0.104309571736337,0.104309571736337,0,2479.506,244.083,0,0,0,0,215.246,0,0,0,0,0,33.722,0,0,0,0,0,0,2257.148,0,0,0,0,0,0,49.072,3.275,513.49,Inf,2220.151
