indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
2003-09-01,4590.338684699999,2931.533,763.147,100.53,38.263,919.453,836.559,41.738,231.843,770.622,365.796,177.453,158.367,277.141,12.775,5.352,219.745,515.88,428.402
2003-10-01,4431.4177778700005,2612.317,442.638,73.722,27.883,948.988,850.179,28.004,240.903,730.899,288.213,154.391,151.083,274.759,12.006,3.656,205.852,454.672,336.787
2003-11-01,4038.4536909299995,2378.32,321.131,62.697,23.148,919.568,798.353,20.207,233.216,575.275,260.527,151.255,146.114,254.479,9.935,3.255,217.95,464.605,294.925
2003-12-01,4175.160763043199,2354.563,259.039,68.322,20.233,935.058,796.976,22.752,252.183,541.917,256.994,175.753,148.255,266.176,10.004,3.231,207.475,446.7,298.058
2004-01-01,4172.036896630001,2468.639,216.871,56.133,16.406,922.32,999.611,22.725,234.573,627.942,220.762,169.959,155.278,247.06,9.846,3.269,258.734,489.75,286.039
2004-02-01,4045.34339823,2464.479,212.727,60.908,17.339,938.992,983.058,23.272,228.183,678.003,224.395,143.49,146.811,236.108,10.078,3.18,239.906,492.059,290.449
2004-03-01,4355.016948900001,2636.433,270.694,68.368,21.899,1007.806,994.573,24.545,248.548,734.405,256.356,148.471,169.595,275.083,11.821,3.576,236.406,492.993,307.727
2004-04-01,4252.4326650400035,2614.067,428.328,76.291,25.225,922.247,882.578,30.884,248.514,692.852,275.688,158.952,168.036,271.283,11.655,3.849,226.958,462.07,342.724
2004-05-01,4506.746741900002,3036.883,905.307,121.322,39.635,904.3,757.203,53.268,255.848,759.696,384.21,170.627,192.461,286.737,12.981,5.171,252.889,553.811,418.3
2004-06-01,4539.30745616,3077.912,987.879,132.602,45.307,882.42,721.014,60.285,248.405,726.361,403.68,173.433,195.732,282.935,14.144,6.888,248.835,562.859,463.045
2004-07-01,4648.49247719,3162.57,1154.027,136.044,48.571,853.78,640.934,65.697,263.517,731.165,436.684,180.162,211.193,285.736,16.132,6.325,256.595,571.756,466.822
2004-08-01,4622.294949140001,3089.398,977.549,127.803,45.788,868.237,747.775,59.692,262.554,757.874,377.352,180.549,202.942,281.04,16.551,6.127,257.761,567.773,441.429
2004-09-01,4416.755997970001,2932.503,669.492,96.609,34.798,965.1,870.13,39.484,256.89,771.565,346.394,170.66,172.096,263.992,15.224,4.408,254.687,519.581,413.896
2004-10-01,4311.97772135,2762.396,476.968,92.153,29.418,1028.057,836.6,31.931,267.269,752.317,311.823,145.8,165.737,255.469,13.656,4.189,249.773,521.523,342.109
2004-11-01,4033.72717745,2536.969,346.485,80.801,24.639,948.581,851.136,26.0,259.327,721.33,287.836,155.832,151.029,247.078,12.612,4.248,237.787,416.367,302.85
2004-12-01,4215.4429374699985,2690.5,264.049,70.779,19.447,984.245,1058.679,22.48,270.821,763.21,265.417,168.206,156.695,238.155,11.445,4.143,242.897,509.371,330.961
2005-01-01,4097.825708639999,2775.428,216.926,56.779,17.696,980.356,1220.462,26.042,257.168,776.601,227.295,178.818,159.822,299.47,10.837,3.607,247.094,546.021,325.864
2005-02-01,3800.3520632499994,2482.956,215.293,59.476,17.693,861.635,1066.948,26.368,235.543,733.479,226.394,155.146,160.642,256.106,11.086,3.91,245.31,403.881,287.002
2005-03-01,4115.929633812001,2795.845,297.525,74.61,22.797,971.66,1137.061,27.957,264.235,800.848,272.813,174.215,174.155,262.625,12.993,4.372,277.138,481.362,335.324
2005-04-01,4102.137748244001,2868.261,507.916,84.337,24.382,991.557,962.762,36.775,260.532,695.285,314.236,170.641,177.505,282.389,13.793,4.963,263.576,519.581,426.292
2005-05-01,4571.4253498097,3163.289,852.47,109.488,42.322,940.826,895.962,55.296,266.925,743.814,379.548,185.501,191.705,273.36,16.766,6.217,279.016,582.782,504.58
2005-06-01,4493.463267979996,3093.669,1012.582,130.815,49.608,897.482,679.334,63.981,259.867,705.309,403.979,180.443,206.666,254.869,16.456,6.258,258.354,571.361,489.974
2005-07-01,4662.061184049997,3299.992,1204.329,140.083,62.745,885.951,662.24,71.964,272.68,742.514,440.607,192.725,215.416,257.563,19.496,6.666,291.367,622.614,511.024
2005-08-01,4623.3297779999975,3309.845,1091.741,141.677,55.335,936.344,745.212,67.416,272.12,755.704,436.093,194.943,212.904,290.004,17.975,6.732,282.554,610.348,502.588
2005-09-01,4321.353828499999,3055.822,864.876,99.738,46.268,1046.855,681.493,53.15,263.442,697.564,393.439,177.733,193.333,282.234,17.101,6.322,283.818,599.558,404.72
