AÑO;MES;BRENT;CAÑADON SECO;ESCALANTE;HIDRA;MAGALLANES;MARÍA INÉS;MEDANITO;MENDOZA NORTE;NOROESTE;SAN SEBASTIÁN;TOTAL TIPO DE CRUDO;WTI
;8;456.07;418.34;405.67;395.72;0.00;0.00;389.78;0.00;0.00;0.00;402.57;446.89
;9;425.50;387.97;421.93;435.85;0.00;0.00;310.57;0.00;0.00;0.00;408.27;436.58
;10;457.71;447.44;448.94;437.26;0.00;0.00;0.00;0.00;0.00;0.00;448.30;476.33
;11;482.18;458.04;452.09;446.51;0.00;0.00;0.00;0.00;0.00;0.00;451.76;490.92
;12;468.34;454.15;420.49;447.20;0.00;0.00;0.00;0.00;0.00;0.00;432.00;468.02
2010;1;479.09;479.56;473.76;453.29;0.00;0.00;0.00;0.00;0.00;0.00;475.00;492.55
;2;463.87;445.19;440.78;486.55;0.00;0.00;0.00;0.00;0.00;0.00;441.21;480.86
;3;495.82;475.10;500.15;461.08;0.00;0.00;0.00;0.00;0.00;0.00;493.13;511.05
;4;533.50;507.14;507.14;496.22;0.00;0.00;0.00;0.00;0.00;0.00;507.11;531.43
;5;477.71;475.90;409.79;514.44;0.00;0.00;0.00;0.00;0.00;0.00;432.48;463.43
;6;470.23;411.39;442.78;481.84;0.00;0.00;0.00;0.00;0.00;0.00;436.08;473.56
;7;475.38;456.94;467.29;481.85;0.00;0.00;0.00;0.00;0.00;0.00;465.12;480.04
;8;484.57;451.56;464.25;448.16;0.00;0.00;0.00;0.00;0.00;0.00;461.15;481.92
;9;489.60;440.01;444.38;454.05;0.00;0.00;0.00;0.00;0.00;0.00;443.53;475.19
;10;519.98;489.15;492.12;486.89;0.00;0.00;0.00;0.00;0.00;0.00;490.81;515.57
;11;536.39;523.77;514.78;487.83;0.00;0.00;0.00;0.00;0.00;0.00;515.44;529.60
;12;575.20;529.28;525.19;487.85;0.00;0.00;0.00;0.00;0.00;0.00;523.63;562.25
2011;1;607.09;543.23;530.11;541.01;0.00;0.00;0.00;0.00;0.00;0.00;532.23;563.00
