AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
;3;113,360.41;205,064.20;214,007.09;1,136,590.23;1,871,340.39;92,907.16;3,633,269.48
;4;108,814.38;190,871.16;208,511.04;1,111,315.68;1,787,215.57;95,612.05;3,502,339.88
;5;111,964.12;204,089.05;213,772.32;1,149,349.80;1,843,901.11;105,942.97;3,629,019.36
;6;107,920.63;213,525.82;207,496.78;1,109,260.67;1,756,899.35;100,406.55;3,495,509.81
;7;106,678.23;206,890.26;208,997.20;1,109,885.85;1,845,736.42;101,681.67;3,579,869.62
;8;101,892.94;207,193.29;210,796.37;1,144,576.48;1,774,718.81;100,323.80;3,539,501.68
;9;88,343.27;195,534.68;188,974.34;1,080,426.69;1,881,247.28;99,829.23;3,534,355.49
;10;116,239.51;211,055.01;197,308.68;1,164,590.74;1,876,658.05;107,166.84;3,673,018.82
;11;134,485.19;188,926.37;190,737.01;1,144,319.08;1,777,733.81;98,409.08;3,534,610.54
;12;135,331.13;182,352.19;196,733.40;1,191,692.87;1,817,524.13;99,432.07;3,623,065.79
2001;1;168,841.22;155,022.25;207,433.72;1,195,201.74;1,816,121.96;95,339.60;3,637,960.48
;2;153,354.46;144,219.32;187,338.97;1,062,686.18;1,637,586.03;83,279.88;3,268,464.83
;3;140,632.54;192,614.97;187,367.00;1,205,698.66;1,778,535.13;95,315.28;3,600,163.57
;4;164,613.87;150,850.49;198,373.10;1,165,230.71;1,744,933.48;97,464.21;3,521,465.85
;5;168,743.18;151,071.65;206,556.96;1,227,566.35;1,819,298.06;106,308.47;3,679,544.67
;6;171,905.59;151,609.39;203,710.92;1,188,597.16;1,756,666.63;103,647.30;3,576,136.99
;7;182,195.74;136,471.01;214,809.64;1,220,732.28;1,814,806.24;107,602.28;3,676,617.18
;8;188,120.13;154,528.08;228,278.75;1,212,526.19;1,807,018.91;108,428.71;3,698,900.77
;9;165,081.93;142,920.45;225,476.33;1,192,892.87;1,723,840.73;104,465.31;3,554,677.61
;10;157,224.17;151,290.71;231,131.35;1,268,365.40;1,750,540.72;107,920.42;3,666,472.75
;11;152,909.82;143,390.20;229,039.41;1,271,798.09;1,686,911.49;108,022.10;3,592,071.09
;12;127,843.72;168,940.29;235,602.68;1,319,544.61;1,730,620.84;110,547.30;3,693,099.45
2002;1;141,530.94;140,063.82;235,390.37;1,291,552.65;1,707,003.49;106,627.54;3,622,168.81
;2;119,138.25;123,522.62;210,577.32;1,184,505.82;1,488,576.79;93,178.48;3,219,499.28
;3;152,376.72;136,108.54;238,641.84;1,300,113.15;1,681,756.68;102,205.96;3,611,202.88
;4;143,426.31;136,981.81;234,033.58;1,258,049.84;1,698,877.12;97,380.93;3,568,749.59
;5;142,673.83;135,958.46;241,374.31;1,247,802.36;1,676,271.98;101,398.43;3,545,479.37
;6;113,064.42;151,186.12;233,777.67;1,217,066.83;1,627,443.64;96,958.86;3,439,497.54
;7;116,064.36;153,883.97;241,050.24;1,249,711.40;1,691,460.68;103,089.53;3,555,260.18
;8;137,331.58;126,553.36;242,326.56;1,239,512.40;1,700,901.70;103,835.62;3,550,461.21
;9;131,235.65;113,668.63;236,845.80;1,192,070.51;1,646,314.98;98,444.00;3,418,579.58
;10;130,538.04;111,760.70;239,669.43;1,242,172.40;1,684,744.77;98,632.04;3,507,517.38
;11;120,731.60;103,434.36;230,436.02;1,232,441.51;1,618,473.94;97,417.73;3,402,935.15
;12;121,234.94;104,486.60;235,753.25;1,288,991.83;1,651,676.47;99,510.11;3,501,653.19
2003;1;98,783.68;133,717.51;230,046.41;1,270,954.65;1,613,947.03;98,140.10;3,445,589.37
;2;85,281.06;123,488.02;202,014.60;1,110,507.24;1,456,272.64;86,555.57;3,064,119.12
;3;92,206.83;143,880.80;229,585.07;1,309,690.05;1,610,559.53;93,605.64;3,479,527.91
