Año;Mes;Producto;Datos;Total
;;SOLVENTES ALIFATICOS;Suma de M3;753
;;;Suma de Toneladas;525
;;;Suma de ValorFOB;161466
;;SOLVENTES HEXANO;Suma de M3;224
;;;Suma de Toneladas;151
;;;Suma de ValorFOB;47622
;4;AEROKEROSENE;Suma de M3;2279
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;301746
;;AERONAFTAS;Suma de M3;223
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;89027
;;AGUARRAS;Suma de M3;797
;;;Suma de Toneladas;626
;;;Suma de ValorFOB;132823
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;51
;;;Suma de ValorFOB;11224
;;BASES LUBRICANTES;Suma de M3;10632
;;;Suma de Toneladas;8325
;;;Suma de ValorFOB;3296104
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;22934
;;;Suma de ValorFOB;1221756
;;FUEL OIL, AZUFRE <1%;Suma de M3;29
;;;Suma de Toneladas;27
;;;Suma de ValorFOB;3000
;;GAS OIL;Suma de M3;29505
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4190174
;;GLP ENVASADO;Suma de M3;0
;;;Suma de Toneladas;46983
;;;Suma de ValorFOB;8268745
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;42
;;;Suma de ValorFOB;33858
;;NAFTA COMUN CON PLOMO;Suma de M3;80203
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;10502208
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;22689
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1778356
;;PETROLEO;Suma de M3;705879.7617
;;;Suma de Toneladas;418565.8125
;;;Suma de ValorFOB;74922884
;;SOLVENTES ALIFATICOS;Suma de M3;68
;;;Suma de Toneladas;48
;;;Suma de ValorFOB;19604
;;SOLVENTES HEXANO;Suma de M3;475
;;;Suma de Toneladas;320
;;;Suma de ValorFOB;158558
;5;ADITIVOS LUBRICANTES;Suma de M3;22
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;40833
