anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,coef_ci,crudo_mdo_interno,gas_mdo_interno,unidad,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ms_extr,ms_tot,ebe_tot,ebe_extr,fuente
2001.0,barriles,280631962.5714,104949187.51679999,22.719092633178587,23.395872600601972,MMBTU,1698918101.81031,218230025.45962197,1.0901093387855751,1.364365125246429,1.3406515580736544,1.0,2.07506215718321,0.5951755336821656,175682775.0546,1480688076.350688,Millones de pesos corrientes,8729.563273798454,7881.1239263178795,5195.622480295227,4690.652138861528,3533.940793503227,3190.471787456351,319.2674783196021,894.0456732045028,2639.895120298724,2296.4261142518485,Criterio CCNN
2002.0,barriles,276503268.66359997,97245641.75039999,19.682486484599405,24.9059965634639,MMBTU,1642089377.3392498,206445367.650343,0.8882986503071644,0.6077650752726892,0.4929689708473924,3.14,3.101870690383393,0.38148979264707983,179257626.91319996,1435644009.688907,Millones de pesos corrientes,21299.98173195457,19229.80456097861,8125.725614309937,7335.974154611599,13174.256117644632,11893.830406367011,779.0070639874866,2181.4558082128174,10992.800309431816,9712.374598154194,Criterio CCNN
2002.0,barriles,276503268.66359997,97245641.75039999,19.682486484599405,24.9059965634639,MMBTU,1642089377.3392498,206445367.650343,0.8882986503071644,0.6077650752726892,0.4929689708473924,3.14,3.101870690383393,0.3815160727227255,179257626.91319996,1435644009.688907,Millones de pesos corrientes,21299.98173195457,19229.80456097861,8126.285379441104,7336.479515330113,13173.696352513465,11893.325045648497,779.0070639874866,2181.4558082128174,10992.240544300648,9711.86923743568,Criterio CCNN
2003.0,barriles,270191278.2492,83878726.09908,24.237501381866938,30.1449796250912,MMBTU,1800558632.4394,228132934.10724398,0.6009941875582862,0.6745701981159947,0.5422560403755233,2.93,3.575691739551415,0.4162878300665986,186312552.15012,1572425698.332156,Millones de pesos corrientes,23588.90916599194,21296.267704689573,9819.775810348883,8865.377071302604,13769.133355643056,12430.890633386969,862.7203113746825,2415.8782649263653,11353.255090716691,10015.012368460604,Criterio CCNN
2003.0,barriles,270191278.2492,83878726.09908,24.237501381866938,30.1449796250912,MMBTU,1800558632.4394,228132934.10724398,0.6009941875582862,0.6745701981159947,0.5422560403755233,2.93,3.575691739551415,0.4163217952997501,186312552.15012,1572425698.332156,Millones de pesos corrientes,23588.90916599194,21296.267704689573,9820.577013148495,8866.100404000452,13768.332152843444,12430.167300689121,862.7203113746825,2415.8782649263653,11352.45388791708,10014.289035762757,Criterio CCNN
2004.0,barriles,254315156.3304,64388883.8736,28.35350209068651,36.16651394674907,MMBTU,1842819822.63149,259446308.63520998,1.7878387463878782,0.894522347119295,0.7725186682007301,2.93,3.476419712823161,0.38461158472725954,189926272.45679998,1583373513.99628,Millones de pesos corrientes,26865.353268742452,24254.269290969885,10332.726094948697,9328.472948401633,16532.627173793757,14925.796342568252,982.5501371896822,2751.4380840931144,13781.189089700641,12174.358258475138,Criterio CCNN
2004.0,barriles,254315156.3304,64388883.8736,28.35350209068651,36.16651394674907,MMBTU,1842819822.63149,259446308.63520998,1.7878387463878782,0.894522347119295,0.7725186682007301,2.93,3.476419712823161,0.3846439579832447,189926272.45679998,1583373513.99628,Millones de pesos corrientes,26865.353268742452,24254.269290969885,10333.595813907197,9329.258138070123,16531.757454835257,14925.011152899762,982.5501371896822,2751.4380840931144,13780.319370742141,12173.573068806647,Criterio CCNN
2005.0,barriles,242613090.357,54636926.3616,34.634829819708095,48.14787712144361,MMBTU,1811916923.59247,233012074.3566,2.498083295501938,1.1509797424150912,1.043703097186865,2.928416666666667,3.913969455049009,0.3744084345617603,187976163.9954,1578904849.23587,Millones de pesos corrientes,32380.30700846291,29233.216405209067,12123.460057667795,10945.162791479497,20256.846950795116,18288.05361372957,1184.2492735960404,3316.2567782561077,16940.590172539007,14971.796835473464,Criterio CCNN
2005.0,barriles,242613090.357,54636926.3616,34.634829819708095,48.14787712144361,MMBTU,1811916923.59247,233012074.3566,2.498083295501938,1.1509797424150912,1.043703097186865,2.928416666666667,3.913969455049009,0.3744084345617603,187976163.9954,1578904849.23587,Millones de pesos corrientes,32380.30700846291,29233.216405209067,12123.460057667795,10945.162791479497,20256.846950795116,18288.05361372957,1184.2492735960404,3316.2567782561077,16940.590172539007,14971.796835473464,Criterio CCNN
2006.0,barriles,241190771.5932,31949152.3164,39.976812063446644,58.71126301600694,MMBTU,1823770983.1563098,108298011.9745562,3.1708397092063456,1.4276324797361655,1.288920009735108,3.07775,4.120995359841515,0.38370715416285706,209241619.2768,1715472971.1817536,Millones de pesos corrientes,38799.05574487162,35028.11732486546,14887.47526407074,13440.539214406796,23911.580480800883,21587.578110458664,1419.0030245873704,3973.638408376997,19937.942072423888,17613.93970208167,Criterio CCNN
2006.0,barriles,241190771.5932,31949152.3164,39.976812063446644,58.71126301600694,MMBTU,1823770983.1563098,108298011.9745562,3.1708397092063456,1.4276324797361655,1.288920009735108,3.07775,4.120995359841515,0.38370715416285706,209241619.2768,1715472971.1817536,Millones de pesos corrientes,38799.05574487162,35028.11732486546,14887.47526407074,13440.539214406796,23911.580480800883,21587.578110458664,1419.0030245873704,3973.638408376997,19937.942072423888,17613.93970208167,Criterio CCNN
2007.0,barriles,238412145.51659998,20763719.822339997,40.70764055560855,62.8278887947296,MMBTU,1800028282.8425298,43962053.8586,1.9447726324060484,1.5954352436394843,1.4993048402343485,3.119166666666667,4.572715840632663,0.44111199812241664,217648425.69426,1756066228.9839299,Millones de pesos corrientes,40135.91378848699,36235.04413015605,17704.43312770855,15983.712718307079,22431.48066077844,20251.331411848972,1467.8961115688728,4110.553865897118,18320.92679488132,16140.777545951854,Criterio CCNN
2007.0,barriles,238412145.51659998,20763719.822339997,40.70764055560855,62.8278887947296,MMBTU,1800028282.8425298,43962053.8586,1.9447726324060484,1.5954352436394843,1.4993048402343485,3.119166666666667,4.572715840632663,0.44111199812241664,217648425.69426,1756066228.9839299,Millones de pesos corrientes,40135.91378848699,36235.04413015605,17704.43312770855,15983.712718307079,22431.48066077844,20251.331411848972,1467.8961115688728,4110.553865897118,18320.92679488132,16140.777545951854,Criterio CCNN
2008.0,barriles,236452111.75079998,20686397.4114204,44.0758716586113,85.23603883175497,MMBTU,1775924408.2983696,24637390.943919,1.93790924589934,1.9763457818772658,1.7438805140414182,3.183166666666667,5.592039744778452,0.4602018481003838,215765714.33937958,1751287017.3544507,Millones de pesos corrientes,45761.25433963744,41313.64939606039,21059.413818492856,19012.617803838297,24701.840521144582,22301.031592222094,1673.632439506997,4686.6779195657855,20015.1626015788,17614.35367265631,Criterio CCNN
2008.0,barriles,236452111.75079998,20686397.4114204,44.0758716586113,85.23603883175497,MMBTU,1775924408.2983696,24637390.943919,1.93790924589934,1.9763457818772658,1.7438805140414182,3.183166666666667,5.592039744778452,0.4602018481003838,215765714.33937958,1751287017.3544507,Millones de pesos corrientes,45761.25433963744,41313.64939606039,21059.413818492856,19012.617803838297,24701.840521144582,22301.031592222094,1673.632439506997,4686.6779195657855,20015.1626015788,17614.35367265631,Criterio CCNN
2009.0,barriles,227941980.90179998,38281780.30050659,42.75057204654097,56.2753035685592,MMBTU,1709199505.17905,27435815.52332839,2.160447480611034,2.016992015373716,1.7998237330815237,3.75,6.96022588383259,0.4180982742335152,189660200.60129339,1681763689.6557217,Millones de pesos corrientes,50042.3133774219,45178.625885082576,20922.60486175285,18889.105514794643,29119.708515669052,26289.520370287933,1830.2041809173845,5125.126234724032,23994.58228094502,21164.394135563904,Criterio CCNN
2009.0,barriles,227941980.90179998,38281780.30050659,42.75057204654097,56.2753035685592,MMBTU,1709199505.17905,27435815.52332839,2.160447480611034,2.016992015373716,1.7998237330815237,3.75,6.96022588383259,0.4180982742335152,189660200.60129339,1681763689.6557217,Millones de pesos corrientes,50042.3133774219,45178.625885082576,20922.60486175285,18889.105514794643,29119.708515669052,26289.520370287933,1830.2041809173845,5125.126234724032,23994.58228094502,21164.394135563904,Criterio CCNN
2010.0,barriles,222743303.95679998,33429069.621789597,50.0750584769521,75.26580553145574,MMBTU,1662897706.2267401,0.0,3.9157196069555247,2.1566233888207824,2.036006709535843,3.89,7.66405578636219,0.41860471350798156,189314234.33501038,1662897706.2267401,Millones de pesos corrientes,59834.649990505284,54019.23061585617,25047.066517125815,22612.704555872057,34787.58347337947,31406.526059984113,2188.3406098839487,6128.016746528501,28659.566726850968,25278.509313455612,Criterio CCNN
