anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,unidad,ci_tot,ci_extr,ms_tot,ms_extr,consumo_k_fijo,vbp_tot,va_tot,ebe_tot,vbp_extr,ebe_extr,va_extr,fuente,pv
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,Millones de pesos corrientes,3378.822777867415,3050.429924411534,557.6768282490975,220.58802719392475,,11566.750723257646,8516.320798846113,8295.732771652189,,,,Criterio propio,
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,Millones de pesos corrientes,3379.807494884254,3051.318935304594,557.6768282490975,220.58802719392475,,11566.750723257646,8515.431787953052,8294.843760759128,,,,Criterio propio,
1993.0,barriles,216666596.091,28450838.2634701,15.32512612417459,16.061741160708575,MMBTU,902534750.451,0.0,2.6429842748759973,3.2564069125252977,1.015872483465283,0.99,1.972021623383232,Millones de pesos corrientes,3379.807494884254,3051.318935304594,557.6768282490975,220.58802719392475,,11566.750723257646,8515.431787953052,8294.843760759128,,,,Criterio propio,
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,Millones de pesos corrientes,3616.8282739269202,3265.303309340164,600.0391147129415,237.34435043550883,,,,,,,,Criterio propio,
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,Millones de pesos corrientes,3616.8282739269202,3265.303309340164,600.0391147129415,237.34435043550883,,,,,,,,Criterio propio,
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,Millones de pesos corrientes,3617.7757056061982,3266.1586587135425,600.0391147129415,237.34435043550883,,,,,,,,Criterio propio,
1994.0,barriles,243619496.09579998,66209162.2566298,14.297503511107932,14.472662202081663,MMBTU,938141651.0090399,31853.343299999997,,2.9845513643092922,1.1097492868988417,1.0,1.812286513626661,Millones de pesos corrientes,3617.7757056061982,3266.1586587135425,600.0391147129415,237.34435043550883,,,,,,,,Criterio propio,
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,Millones de pesos corrientes,4241.229222790534,3829.0177934856424,705.0262358606531,278.8718099992382,,,,,,,,Criterio propio,
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,Millones de pesos corrientes,4241.229222790534,3829.0177934856424,705.0262358606531,278.8718099992382,,,,,,,,Criterio propio,
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,Millones de pesos corrientes,4242.25487797986,3829.943763708805,705.0262358606531,278.8718099992382,,,,,,,,Criterio propio,
1995.0,barriles,262532037.834,88121303.2415846,15.846356332342312,15.808010902102737,MMBTU,1030423781.1893399,19096.1704,,3.4290536140692356,1.1903242104613008,0.99,1.850027967708323,Millones de pesos corrientes,4242.25487797986,3829.943763708805,705.0262358606531,278.8718099992382,,,,,,,,Criterio propio,
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,Millones de pesos corrientes,5597.075589750496,5053.087418495619,941.1211173486424,372.25869914349477,,,,,,,,Criterio propio,
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,Millones de pesos corrientes,5597.075589750496,5053.087418495619,941.1211173486424,372.25869914349477,,,,,,,,Criterio propio,
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,Millones de pesos corrientes,5599.0144670374075,5054.837853391021,941.1211173486424,372.25869914349477,,,,,,,,Criterio propio,
1996.0,barriles,286623720.3984,103610629.199821,19.890519012263244,19.6415803732122,MMBTU,1178069808.47643,30610.9544939511,,4.155343789725977,1.2213861593776953,1.0,1.700047480198135,Millones de pesos corrientes,5599.0144670374075,5054.837853391021,941.1211173486424,372.25869914349477,,,,,,,,Criterio propio,
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,Millones de pesos corrientes,5583.106964229245,5040.476424639404,955.018156802305,377.75564712776765,140.34417345891907,,,,,,,Criterio propio,
1997.0,barriles,304444925.2284,104005003.708477,18.5480299002618,18.133956729083277,MMBTU,1308711606.62465,23720720.93327094,,2.0782683566189126,1.2188698091062005,1.0,1.685374159314438,Millones de pesos corrientes,5583.106964229245,5040.476424639404,955.018156802305,377.75564712776765,140.34417345891907,,,,,,,Criterio propio,
