anio,unidad,fuente,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ebe_tot,ebe_extr,ms_tot,ms_extr,coef_ci,vbp_criterio_ccnn_04,consumo_k_fijo,pv
2002,Millones de pesos corrientes,Empalme CCNN,27512.320818842374,24838.35709453135,10496.392590292422,9476.232451590247,17015.92822854995,15362.124642941104,14198.23041063869,14247.589536949496,2817.697817911261,1114.5351059916081,0.3815160727227255,0.7928420489723047,3927.818961227895,9649.389301424702
2003,Millones de pesos corrientes,Empalme CCNN,30468.83536842115,27507.523560754064,12683.805360176473,11451.047293612144,17785.030008244677,16056.47626714192,14664.53822940862,14822.171575786078,3120.491778836057,1234.3046913558412,0.4162878300665986,0.878042024239353,3710.739805031023,10369.010336550362
2003,Millones de pesos corrientes,Empalme CCNN,30468.83536842115,27507.523560754064,12683.805360176473,11451.047293612144,17785.030008244677,16056.47626714192,14664.53822940862,14822.171575786078,3120.491778836057,1234.3046913558412,0.4162878300665986,0.878042024239353,3710.739805031023,10369.010336550362
2003,Millones de pesos corrientes,Empalme CCNN,30468.83536842115,27507.523560754064,12684.840241273616,11451.981593063307,17783.995127147537,16055.541967690757,14663.503348311478,14821.237276334916,3120.491778836057,1234.3046913558412,0.4163217952997501,0.878042024239353,3710.739805031023,10368.076037099201
2003,Millones de pesos corrientes,Empalme CCNN,30468.83536842115,27507.523560754064,12684.840241273616,11451.981593063307,17783.995127147537,16055.541967690757,14663.503348311478,14821.237276334916,3120.491778836057,1234.3046913558412,0.4163217952997501,0.878042024239353,3710.739805031023,10368.076037099201
2004,Millones de pesos corrientes,Empalme CCNN,34700.885068475254,31328.254003085796,13346.362397624765,12049.20941886494,21354.52267085049,19279.044584220854,19635.78730147985,18526.60973943348,1718.7353693706398,752.4348447873757,0.38461158472725954,1.0,3909.6748330672904,13771.392877956043
2004,Millones de pesos corrientes,Empalme CCNN,34700.885068475254,31328.254003085796,13346.362397624765,12049.20941886494,21354.52267085049,19279.044584220854,19635.78730147985,18526.60973943348,1718.7353693706398,752.4348447873757,0.38461158472725954,1.0,3909.6748330672904,13771.392877956043
2004,Millones de pesos corrientes,Empalme CCNN,34700.885068475254,31328.254003085796,13347.48577826,12050.22361645135,21354.52267085049,19279.044584220854,19635.78730147985,18526.60973943348,1718.7353693706398,752.4348447873757,0.3846439579832447,1.0,3909.6748330672904,13771.392877956043
2004,Millones de pesos corrientes,Empalme CCNN,34700.885068475254,31328.254003085796,13347.48577826,12050.22361645135,21354.52267085049,19279.044584220854,19635.78730147985,18526.60973943348,1718.7353693706398,752.4348447873757,0.3846439579832447,1.0,3909.6748330672904,13771.392877956043
2005,Millones de pesos corrientes,Empalme CCNN,39435.60373276943,35602.798259102856,14765.022659584114,13329.987962208867,24670.581073185316,22272.81029689399,22256.351129307997,21292.185844175987,2414.22994387732,980.624452718001,0.3744084345617603,1.2052812663415466,4561.970945620766,15769.303950434272
2005,Millones de pesos corrientes,Empalme CCNN,39435.60373276943,35602.798259102856,14765.022659584114,13329.987962208867,24670.581073185316,22272.81029689399,22256.351129307997,21292.185844175987,2414.22994387732,980.624452718001,0.3744084345617603,1.2052812663415466,4561.970945620766,15769.303950434272
2005,Millones de pesos corrientes,Empalme CCNN,39435.60373276943,35602.798259102856,14765.022659584114,13329.987962208867,24670.581073185316,22272.81029689399,22256.351129307997,21292.185844175987,2414.22994387732,980.624452718001,0.3744084345617603,1.2052812663415466,4561.970945620766,15769.303950434272
2005,Millones de pesos corrientes,Empalme CCNN,39435.60373276943,35602.798259102856,14765.022659584114,13329.987962208867,24670.581073185316,22272.81029689399,22256.351129307997,21292.185844175987,2414.22994387732,980.624452718001,0.3744084345617603,1.2052812663415466,4561.970945620766,15769.303950434272
2006,Millones de pesos corrientes,Empalme CCNN,53832.1034535009,48600.08057960958,20655.76321874334,18648.198611287527,33176.34023475756,29951.88196832205,29879.262245591854,28664.49524389188,3297.0779891657075,1287.38672443017,0.38370715416285706,1.4442041895653723,5060.154321543591,22292.636455507207
2006,Millones de pesos corrientes,Empalme CCNN,53832.1034535009,48600.08057960958,20655.76321874334,18648.198611287527,33176.34023475756,29951.88196832205,29879.262245591854,28664.49524389188,3297.0779891657075,1287.38672443017,0.38370715416285706,1.4442041895653723,5060.154321543591,22292.636455507207
2006,Millones de pesos corrientes,Empalme CCNN,53832.1034535009,48600.08057960958,20655.76321874334,18648.198611287527,33176.34023475756,29951.88196832205,29879.262245591854,28664.49524389188,3297.0779891657075,1287.38672443017,0.38370715416285706,1.4442041895653723,5060.154321543591,22292.636455507207
2006,Millones de pesos corrientes,Empalme CCNN,53832.1034535009,48600.08057960958,20655.76321874334,18648.198611287527,33176.34023475756,29951.88196832205,29879.262245591854,28664.49524389188,3297.0779891657075,1287.38672443017,0.38370715416285706,1.4442041895653723,5060.154321543591,22292.636455507207
2007,Millones de pesos corrientes,Empalme CCNN,56155.49769032822,50697.66064585284,24770.863791739434,22363.346387624355,31384.63389858879,28334.314258228485,26757.552852281446,26559.895410183446,4627.081046307343,1774.418848045038,0.44111199812241664,1.4939656064446654,5284.848568071483,19906.72919460051
2007,Millones de pesos corrientes,Empalme CCNN,56155.49769032822,50697.66064585284,24770.863791739434,22363.346387624355,31384.63389858879,28334.314258228485,26757.552852281446,26559.895410183446,4627.081046307343,1774.418848045038,0.44111199812241664,1.4939656064446654,5284.848568071483,19906.72919460051
2007,Millones de pesos corrientes,Empalme CCNN,56155.49769032822,50697.66064585284,24770.863791739434,22363.346387624355,31384.63389858879,28334.314258228485,26757.552852281446,26559.895410183446,4627.081046307343,1774.418848045038,0.44111199812241664,1.4939656064446654,5284.848568071483,19906.72919460051
2007,Millones de pesos corrientes,Empalme CCNN,56155.49769032822,50697.66064585284,24770.863791739434,22363.346387624355,31384.63389858879,28334.314258228485,26757.552852281446,26559.895410183446,4627.081046307343,1774.418848045038,0.44111199812241664,1.4939656064446654,5284.848568071483,19906.72919460051
2008,Millones de pesos corrientes,Empalme CCNN,64210.197612939206,57969.51220226849,29549.651608365475,26677.676648961708,34660.546004573735,31291.835553306784,27653.55059074604,28817.54305277691,7006.9954138276935,2474.292500529876,0.4602018481003838,1.7033557639042909,5925.929530057657,21327.030353525566
2008,Millones de pesos corrientes,Empalme CCNN,64210.197612939206,57969.51220226849,29549.651608365475,26677.676648961708,34660.546004573735,31291.835553306784,27653.55059074604,28817.54305277691,7006.9954138276935,2474.292500529876,0.4602018481003838,1.7033557639042909,5925.929530057657,21327.030353525566
2008,Millones de pesos corrientes,Empalme CCNN,64210.197612939206,57969.51220226849,29549.651608365475,26677.676648961708,34660.546004573735,31291.835553306784,27653.55059074604,28817.54305277691,7006.9954138276935,2474.292500529876,0.4602018481003838,1.7033557639042909,5925.929530057657,21327.030353525566
2008,Millones de pesos corrientes,Empalme CCNN,64210.197612939206,57969.51220226849,29549.651608365475,26677.676648961708,34660.546004573735,31291.835553306784,27653.55059074604,28817.54305277691,7006.9954138276935,2474.292500529876,0.4602018481003838,1.7033557639042909,5925.929530057657,21327.030353525566
2009,Millones de pesos corrientes,Empalme CCNN,69059.79827423714,62347.772901696524,28873.78247737324,26067.496252502442,40186.0157968639,36280.276649194086,31810.53230438016,33287.86529113799,8375.483492483741,2992.411358056097,0.4180982742335152,1.862708183169346,6366.0529857946385,25239.06093461701
2009,Millones de pesos corrientes,Empalme CCNN,69059.79827423714,62347.772901696524,28873.78247737324,26067.496252502442,40186.0157968639,36280.276649194086,31810.53230438016,33287.86529113799,8375.483492483741,2992.411358056097,0.4180982742335152,1.862708183169346,6366.0529857946385,25239.06093461701
2009,Millones de pesos corrientes,Empalme CCNN,69059.79827423714,62347.772901696524,28873.78247737324,26067.496252502442,40186.0157968639,36280.276649194086,31810.53230438016,33287.86529113799,8375.483492483741,2992.411358056097,0.4180982742335152,1.862708183169346,6366.0529857946385,25239.06093461701
2009,Millones de pesos corrientes,Empalme CCNN,69059.79827423714,62347.772901696524,28873.78247737324,26067.496252502442,40186.0157968639,36280.276649194086,31810.53230438016,33287.86529113799,8375.483492483741,2992.411358056097,0.4180982742335152,1.862708183169346,6366.0529857946385,25239.06093461701
2010,Millones de pesos corrientes,Empalme CCNN,82616.23213857913,74586.63662635602,34583.544185478815,31222.317656499687,48032.687953100314,43364.31896985633,37097.71387509091,39638.00390846741,10934.974078009405,3726.315061388917,0.41860471350798156,2.227205032145334,8279.274291624304,29345.654262591717
2011,Millones de pesos corrientes,Empalme CCNN,98731.95194679829,89136.04545550191,45478.13318051624,41058.04520702906,53253.81876628205,48078.00024847285,37727.07758584678,42976.13482330611,15526.741180435263,5101.865425166738,0.46062224319257994,2.577525321721709,10661.126463424807,29909.247966356645
2012,Millones de pesos corrientes,Empalme CCNN,119348.92053009581,107749.21994014813,56426.681208793874,50942.48743142842,62922.23932130194,56806.73250871972,43630.78151939508,50427.97084665936,19291.45780190686,6378.761662060359,0.47278752885381103,3.1203048960001194,15461.464764068383,32058.38059373258
2013,Millones de pesos corrientes,Empalme CCNN,148325.90336800748,133909.8863553648,73294.07471109502,66170.51366094234,75031.82865691246,67739.37269442248,49821.38697499996,59490.448098009976,25210.4416819125,8248.9245964125,0.4941421090100967,3.5850754748203655,25413.001799002832,30463.25072583749
2014,Millones de pesos corrientes,Empalme CCNN,229226.20775410262,206947.3688211084,91656.16540909471,82747.96522390646,137570.0423450079,124199.40359720193,100602.67786942233,112573.09402779044,36967.364475585586,11626.309569411484,0.39985028896615893,5.55378213505019,36203.766032948006,70783.86836501732
2015,Millones de pesos corrientes,Empalme CCNN,251831.60252344699,227355.71136846938,99709.05546601515,90018.18281819252,152122.54705743183,137337.52855027685,102174.27746677812,121535.32302716207,49948.26959065372,15802.205523114788,0.3959354364857034,5.9431008044894,54020.71580722831,61378.33134122722
2016,Millones de pesos corrientes,Empalme CCNN,354686.9063898084,320214.35398612666,141003.9136602297,127299.53180905868,213682.9927295787,192914.82217706795,156797.53637496458,173388.57951971667,56885.45635461411,19526.242657351293,0.39754473909240795,8.640448228562237,88690.97627182666,76055.09497504451
2017,Millones de pesos corrientes,Empalme CCNN,407149.29989827564,367577.8487845986,158420.93634394207,143023.76793548965,248728.36355433357,224554.08084910896,182416.04432386966,199933.01600480734,66312.31923046391,24621.064844301618,0.38909789697175656,9.279766382633118,34428.32684545478,155583.8515719992
2018,Millones de pesos corrientes,Empalme CCNN,770622.4057795978,695724.4583558138,305329.3664788263,275653.94740723376,465293.03930077143,420070.51094857993,374412.4365843355,383844.3305616993,90880.60271643594,36226.18038688063,0.3962113795146416,19.143432218543676,70010.96091192566,295055.93412225327
2019,Millones de pesos corrientes,Empalme CCNN,1138662.6861432607,1027994.351871425,453402.81251349323,409335.91313612956,685259.8736297674,618658.4387352954,538293.530448216,559000.4625004552,146966.34318155138,59657.97623484026,0.3981888736946355,27.812179386698652,,
2020,Millones de pesos corrientes,Empalme CCNN,1056867.820068603,954149.2515093248,425157.11276070174,383835.45530618663,631710.7073079012,570313.7962031382,465880.4215222176,491309.27920385695,165830.2857856836,79004.51699928124,0.40228030855656494,27.848447528084595,,
2021,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,47.17459840803524,,
2022,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,93.01832917441487,,
2023,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,220.6034958334762,,
2024,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,801.6718124333473,,
2025,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,982.9871573643885,,
2026,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
2027,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
2028,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
2029,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
2030,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
