anio,renta_diferencial_precios_crudo,renta_diferencial_precios_gas,retenciones,regalias_total,renta_expo_sobrevaluada_crudo,renta_expo_sobrevaluada_gas,subsidios,renta_empresas,tcc,tcp,unidad_pbi_gcia,pbi,ganancia,ipc_18,renta_total,proporcion_subsidios,renta_pv,renta_pbi,unidad,renta_usd_tcc,renta_usd_tcp
2000.0,184386.54183510144,36310.01282076076,,27610.1808960092,3909.1124246217373,0.3113227665752055,,-26322.55020440843,1.0,1.969548988287749,Millones de pesos corrientes,299121.02445911936,145267.55396975827,0.03885231180582565,225893.6090948513,,0.06041603025355229,0.029340929650018405,Millones de pesos 2018,8776.488935496456,4456.0907028397405
2001.0,118050.58392417048,35493.048149236456,,24221.619845656107,68673.10388880303,6653.542143574167,,-31962.586035971988,1.0,2.07506215718321,Millones de pesos corrientes,284874.369931254,138936.06039790408,0.038438393302769644,221129.31191546825,,0.06117818108441068,0.029837206710553787,Millones de pesos 2018,8499.855462177595,4096.193182818056
2001.0,118050.58392417048,35493.048149236456,,24221.619845656107,68673.10388880303,6653.542143574167,,-31987.52284298365,1.0,2.07506215718321,Millones de pesos corrientes,284874.369931254,138936.06039790408,0.038438393302769644,221104.3751084566,,0.06117128200584976,0.02983384196139836,Millones de pesos 2018,8498.896931381965,4095.7312541031447
2002.0,57251.24488386721,35829.35839567292,22018.813309619603,61664.60275377313,-1908.7574138159212,-144.5242788384321,,80693.73272430488,3.14,3.101870690383393,Millones de pesos corrientes,333830.71778017876,169352.32933835263,0.04838182825389189,255404.4703745834,,0.07296584150461331,0.03701557275228375,Millones de pesos 2018,3935.3296881972333,3983.704175434853
2002.0,57251.24488386721,35829.35839567292,22018.813309619603,61664.60275377313,-1908.7574138159212,-144.5242788384321,,80680.24100795362,3.14,3.101870690383393,Millones de pesos corrientes,333830.71778017876,169352.32933835263,0.04838182825389189,255390.97865823214,,0.07296198709111981,0.037013617408246824,Millones de pesos 2018,3935.1218047885213,3983.493736648549
2003.0,124828.86736673918,16048.063493687048,24021.276627949075,60186.706302545936,29746.27918512688,1612.961818228889,,86324.6876931523,2.93,3.575691739551415,Millones de pesos corrientes,404410.040573429,214940.30578599614,0.05488572451056613,342768.84248742927,,0.0875271680235806,0.04651990398877044,Millones de pesos 2018,6420.858791662346,5261.392096940342
2003.0,124828.86736673918,16048.063493687048,24021.276627949075,60186.706302545936,29746.27918512688,1612.961818228889,,86307.66506186717,2.93,3.575691739551415,Millones de pesos corrientes,404410.040573429,214940.30578599614,0.05488572451056613,342751.81985614414,,0.08752282123786377,0.04651759371118724,Millones de pesos 2018,6420.539918129528,5261.130804994835
2004.0,141358.4512299508,109182.45384876059,32282.638694737965,71112.30559488026,22203.356139964886,4422.592443816822,,142108.30719849202,2.93,3.476419712823161,Millones de pesos corrientes,485115.19472475466,250850.01627215097,0.05730932328517764,522670.1051506034,,0.11940948010573903,0.06174589118893501,Millones de pesos 2018,10223.163831936423,8616.298520309714
2005.0,260340.3394938826,168884.78370062067,46987.8513548735,78605.6684548271,41261.25188393052,9129.864638539575,0.0,148670.26726346312,2.928416666666667,3.913969455049009,Millones de pesos corrientes,582538.1729372747,299193.89297715307,0.06283489501643001,753880.0267901369,0.0,0.15832533166697674,0.08131651201412736,Millones de pesos 2018,16175.967333317218,12102.795610025667
2006.0,357061.79062693554,224028.59125067797,50802.9383416391,90383.19641979925,28082.992767432264,5141.1159380207255,0.0,218846.19246852837,3.07775,4.120995359841515,Millones de pesos corrientes,715904.2717338484,364129.73985060607,0.0696825181531,974346.8178130332,0.0,0.18645810102610025,0.09483801466254305,Millones de pesos 2018,22059.92683605618,16475.374003401696
2007.0,442817.189716671,93962.4446986906,41733.78173337472,83034.16657506155,24064.017803784056,1577.093065406984,0.0,160095.4065716083,3.119166666666667,4.572715840632663,Millones de pesos corrientes,896980.174071903,453534.30364649964,0.07879872942360158,847284.1001645972,0.0,0.14721027718738716,0.07443298356384617,Millones de pesos 2018,21404.726867365156,14600.712766912826
2008.0,750945.6710526225,95788.34936765612,108069.34982123747,80535.90246343229,43950.76228719913,1190.1081773241067,0.0,136388.383259488,3.183166666666667,5.592039744778452,Millones de pesos corrientes,1149646.0905836355,581823.8166398524,0.09663971229154261,1216868.5264289596,0.0,0.20211930300460845,0.10229045725804863,Millones de pesos 2018,36943.65913107326,21029.504377277473
2009.0,395376.7536700944,125582.05753620222,82874.98240794412,85610.69750079638,62311.12600185984,1714.4199576316485,1124.371956294545,152351.4439182342,3.75,6.96022588383259,Millones de pesos corrientes,1247929.2689250198,545754.943017186,0.11098900696862518,904697.1090364684,0.0012428159049740276,0.1839863019549081,0.08046243985112968,Millones de pesos 2018,26776.382330491637,14426.461930291971
2010.0,517804.98082510143,262983.9260762829,52617.828213709014,78670.97567112175,67981.97895845912,0.0,3568.9694236569535,132477.16966061582,3.89,7.66405578636219,Millones de pesos corrientes,1661720.9259445816,773503.3230459177,0.13968073653950458,1108967.889981633,0.003218280218840298,0.2002595813826896,0.09321748872076294,Millones de pesos 2018,39820.42459416318,20211.42016566924
2011.0,757886.3323315507,383284.7477821344,53169.816026265915,74700.95293683911,65401.383594070845,0.0,6297.87129862018,93678.56981289152,4.11,9.17750726520705,Millones de pesos corrientes,2179024.1036307774,1003955.5681438238,0.172996874682735,1421823.9311851321,0.0044294312119016865,0.24500197443888355,0.11288131050698384,Millones de pesos 2018,59846.98210319901,26801.514761710045
2012.0,829877.210320836,593810.1085419644,52537.28728044521,71610.28421739145,90085.05657552359,0.0,29598.490127207602,62254.31017854099,4.552518519,12.13401732884997,Millones de pesos corrientes,2637913.8482155497,1138597.7514097118,0.2138958172700075,1670575.766987494,0.017717538295543334,0.31383266702296403,0.13545899887252932,Millones de pesos 2018,78490.43721622248,29448.54612508835
2013.0,716838.985962843,840548.0884145825,28917.622069976667,72201.41777826115,52656.15906673043,0.0,37299.18154528373,897.1888563615639,5.49,14.84157193157559,Millones de pesos corrientes,3348308.488227206,1394018.9155138135,0.26930686005767707,1674760.280603472,0.022271355475330233,0.323542548454154,0.1347021739796247,Millones de pesos 2018,82153.81284492444,30389.262983597866
2014.0,668621.2751180301,773865.0191170408,20267.387368774333,102847.17837835732,53880.31630648985,0.0,29791.38366040147,68363.07914369699,8.1236,21.34231847897062,Millones de pesos corrientes,4579086.425410098,2010866.0469197435,0.38426265104099494,1658052.8717719878,0.017967692205474086,0.31684248339127064,0.13913862567382715,Millones de pesos 2018,78429.2422169037,29852.791893299905
2015.0,418284.4952549529,443104.90557981934,1323.3239949900799,105208.76036018491,33049.227066178464,0.0,73458.9637109112,-5297.9595137458755,9.43,25.48181551080215,Millones de pesos corrientes,5954510.895692342,2561525.1904003215,0.48635406176914725,922213.7890314687,0.07965502639909514,0.1750997506469472,0.07532481340145733,Millones de pesos 2018,47563.35335259493,17601.666644389385
2016.0,299046.3650432247,190335.54531640658,,214339.26718456042,35029.04183629418,0.0,32874.577288438515,-47499.04572562042,14.77744618867244,36.58219323265958,Millones de pesos corrientes,8228159.556536429,3612431.171132827,0.6757814893778542,658376.5963664269,0.049932785384342246,0.12316323710729793,0.054072689500847614,Millones de pesos 2018,30107.95716549968,12162.166276756067
2017.0,304552.24135542987,320224.74712093384,,244647.2684308144,21238.105754244505,0.0,25563.60329614265,136211.4813720273,16.55671666666666,47.31066691847749,Millones de pesos corrientes,10660228.494808454,4641044.791806787,0.834016110429706,1001310.2407373072,0.025530152650110802,0.17993984324121307,0.07833874036751283,Millones de pesos 2018,50439.28027073576,17651.59797371202
2018.0,329828.08399536094,445136.8133902188,,623347.8814334994,50705.68743769577,0.0,29085.444296190566,209606.45960260055,28.11243034511785,63.43351939285051,Millones de pesos corrientes,14542722.148095284,6732350.582808398,1.0,1629539.4815631849,0.017848873639004732,0.24204614146570827,0.11205188856452242,Millones de pesos 2018,57965.08738513172,25688.93381859004
2019.0,258708.8826620521,563956.0393287452,,964917.0110546885,40969.04403979054,0.0,4186.548217613243,,48.25485833333334,96.3767044113364,Millones de pesos corrientes,21447249.859798744,10024582.205944346,1.5368687098527567,1824364.4288676633,0.0022947982055382034,0.2796933127479879,0.1307304490983077,Millones de pesos 2018,58104.17236596259,29092.1818007849
2020.0,244453.81863672356,148869.54859784842,,963610.7877896004,19143.99070714774,0.0,,,70.63476524170274,155.1537195126539,,,,2.181855633709362,1376078.1457313201,,,,Millones de pesos 2018,42506.035723547575,19351.156157383295
2021.0,266008.6308595262,178407.13874663046,,1583734.74634812,0.0,0.0,,,95.09325,183.2544403613368,,,,3.236371359384806,2028150.5159542768,,,,Millones de pesos 2018,69025.38552795218,35818.222081896056
2022.0,450561.67563803314,221928.08274069306,,2187899.0362125435,0.0,0.0,,,130.811639,321.6995633231077,,,,5.577043505311,2860388.7945912695,,,,Millones de pesos 2018,121950.25512630108,49588.23252587775
2023.0,428863.7886506067,208714.54200061818,,4880852.6612185165,0.0,0.0,,,295.294897119341,694.730244073937,,,,13.011665181064144,5518430.991869741,,,,Millones de pesos 2018,243160.23436733414,103355.19002304297
2024.0,579060.6518640126,206433.09791110485,,14237821.161527053,0.0,0.0,,,959.272352941177,2393.116154794713,,,,41.59661847216152,15023314.91130217,,,,Millones de pesos 2018,651451.1719602242,261131.95437694018
2025.0,,,,,,,,,1122.168145,2613.39,,,,,0,,,,Millones de pesos 2018,,
