anio,fuente,variable,unidad,valor
1952.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1953.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1954.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1955.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1956.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1957.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1958.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1959.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1960.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1961.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1962.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1963.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1964.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1965.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1966.0,Criterio propio,vbp_tot,Millones de pesos corrientes,1.5046191757583508e-08
1967.0,Criterio propio,vbp_tot,Millones de pesos corrientes,7.62767121330359e-09
1968.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1969.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1970.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1971.0,Criterio propio,vbp_tot,Millones de pesos corrientes,
1972.0,Criterio propio,vbp_tot,Millones de pesos corrientes,4.813977835409814e-08
1973.0,Criterio propio,vbp_tot,Millones de pesos corrientes,9.306329000166046e-08
1974.0,Criterio propio,vbp_tot,Millones de pesos corrientes,3.0749832926034356e-07
1975.0,Criterio propio,vbp_tot,Millones de pesos corrientes,8.410076376927461e-07
1976.0,Criterio propio,vbp_tot,Millones de pesos corrientes,4.576759536930656e-06
1977.0,Criterio propio,vbp_tot,Millones de pesos corrientes,1.3152726593090226e-05
1978.0,Criterio propio,vbp_tot,Millones de pesos corrientes,3.842878829578922e-05
1979.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.00015567613979830332
1980.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.00033957904395155497
1981.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.0006885216474527212
1982.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.0016891087257130412
1983.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.007199870491310957
1984.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.05343839211526151
1985.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.41314746417433856
1986.0,Criterio propio,vbp_tot,Millones de pesos corrientes,0.5788497385865348
1987.0,Criterio propio,vbp_tot,Millones de pesos corrientes,1.1658876651512098
1988.0,Criterio propio,vbp_tot,Millones de pesos corrientes,4.24108663667001
1989.0,Criterio propio,vbp_tot,Millones de pesos corrientes,154.8620052089918
1990.0,Criterio propio,vbp_tot,Millones de pesos corrientes,4622.847510396406
1991.0,Criterio propio,vbp_tot,Millones de pesos corrientes,12407.55408194365
1992.0,Criterio propio,vbp_tot,Millones de pesos corrientes,11123.32853677232
